"Fruits
Serving Size
(gram weight/ ounce weight)",per serving,Calories,Total Fat,"Total
Carbo-hydrate","Dietary
Fiber",Protein,pro_points
Apple – 1 large,242,130,0,34,5,1,0
Avocado - 1/5 medium,30,50,4.5,3,1,1,
Banana - 1 medium,126,110,0,30,3,1,0
Cantaloupe - 1/4 medium,134,50,0,12,1,1,0
Grapefruit - 1/2 medium,154,60,0,15,2,1,0
Grapes - 3/4 cup,126,90,0,23,1,0,0
Honeydew Melon - 1/10 medium melon,134,50,0,12,1,1,0
Kiwifruit - 2 medium,148,90,1,20,4,1,0
Lemon - 1 medium,58,15,0,5,2,0,0
Lime - 1 medium,67,20,0,7,2,0,0
Nectarine - 1 medium,140,60,0.5,15,2,1,0
Orange - 1 medium,154,80,0,19,3,1,0
Peach - 1 medium,147,60,0.5,15,2,1,0
Pear - 1 medium,166,100,0,26,6,1,0
"Pineapple - 2 slices (3"" diameter, 3/4"" thick)",112,50,0,13,1,1,0
Plums - 2 medium,151,70,0,19,2,1,0
Strawberries - 8 medium,147,50,0,11,2,1,0
Sweet Cherries - 21 cherries; 1 cup,140,100,0,26,1,1,0
Tangerine - 1 medium,109,50,0,13,2,1,0
Watermelon - 1/18 medium melon (2 cups diced pieces),280,80,0,21,1,1,0
Asparagus - 5 spears,93,20,0,4,2,2,0
Bell Pepper - 1 medium,148,25,0,6,2,1,0
Broccoli - 1 medium stalk,148,45,0.5,8,3,4,0
"Carrot - 1 carrot, 7"" long, 1 1/4"" diameter",78,30,0,7,2,1,0
Cauliflower - 1/6 medium head,99,25,0,5,2,2,0
Celery - 2 medium stalks,110,15,0,4,2,0,0
Cucumber - 1/3 medium,99,10,0,2,1,1,0
Green (Snap) Beans - 3/4 cup cut,83,20,0,5,3,1,0
Green Cabbage - 1/12 medium head,84,25,0,5,2,1,0
Green Onion - 1/4 cup chopped,25,10,0,2,1,0,0
Iceberg Lettuce - 1/6 medium head,89,10,0,2,1,1,0
Leaf Lettuce - 1 1/2 cups shredded,85,15,0,2,1,1,0
Mushrooms - 5 medium,84,20,0,3,1,3,0
Onion - 1 medium,148,45,0,11,3,1,0
Potato - 1 medium,148,110,0,26,2,3,
Radishes - 7 radishes,85,10,0,3,1,0,0
Summer Squash - 1/2 medium,98,20,0,4,2,1,0
Sweet Corn - kernels from 1 medium ear,90,90,2.5,18,2,4,2
"Sweet Potato - 1 medium, 5"" long, 2"" diameter",130,100,0,23,4,2,
Tomato - 1 medium,148,25,0,5,1,1,0
Blue Crab,84,100,1,0,0,20,
Catfish,84,130,6,0,0,17,
Clams – about 12 small,84,110,1.5,6,0,17,
Cod,84,90,1,0,0,20,
Flounder/Sole,84,100,1.5,0,0,19,
Haddock,84,100,1,0,0,21,
Halibut,84,120,2,0,0,23,
Lobster,84,80,0.5,1,0,17,
Ocean Perch,84,110,2,0,0,21,
Orange Roughy,84,80,1,0,0,16,
Oysters – about 12 medium,84,100,4,6,0,10,
Pollock,84,90,1,0,0,20,
Rainbow Trout,84,140,6,0,0,20,
Rockfish,84,110,2,0,0,21,
Salmon – Atlantic,84,200,10,0,0,24,
Coho,84,200,10,0,0,24,
Chinook,84,200,10,0,0,24,
Sockeye,84,200,10,0,0,24,
"Salmon, Chum/Pink",84,130,4,0,0,22,
Scallops – about 6 large or 14 small,84,140,1,5,0,27,
Shrimp,84,100,1.5,0,0,21,
Swordfish,84,120,6,0,0,16,
Tilapia,84,110,2.5,0,0,22,
Tuna,84,130,1.5,0,0,26,
